r,c,z
0,0,-0.110742
0,1,0.00990807
0,2,0.00660467
0,3,0.00230545
0,4,-0.00815258
0,5,-0.0119533
0,6,-0.0211658
0,7,-0.0291225
0,8,-0.0358302
0,9,-0.04304
0,10,-0.044276
0,11,-0.0391822
0,12,-0.0391822
0,13,-0.0391822
1,0,-0.112092
1,1,-0.119793
1,2,0.0035003
1,3,-0.000406997
1,4,-0.0138629
1,5,-0.0209292
1,6,-0.0278444
1,7,-0.0296419
1,8,-0.0447184
1,9,-0.0500322
1,10,-0.0529822
1,11,-0.0555176
1,12,-0.049464
1,13,-0.049464
2,0,-0.117615
2,1,0.0100415
2,2,-0.00338767
2,3,-0.00373382
2,4,-0.0128486
2,5,-0.0248299
2,6,-0.0358864
2,7,-0.0409587
2,8,-0.0469056
2,9,-0.0571204
2,10,-0.0644849
2,11,-0.0655229
2,12,-0.0813997
2,13,-0.0833218
3,0,-0.126891
3,1,0.0146514
3,2,-0.0038943
3,3,-0.0112511
3,4,-0.0175365
3,5,-0.0282144
3,6,-0.0384422
3,7,-0.0483339
3,8,-0.053203
3,9,-0.06263
3,10,-0.068629
3,11,-0.0765982
3,12,-0.0785663
3,13,-0.0885833
4,0,-0.134298
4,1,-0.0048548
4,2,-0.0182958
4,3,-0.0234287
4,4,-0.0225746
4,5,-0.0289098
4,6,-0.0407403
4,7,-0.0489288
4,8,-0.0651541
4,9,-0.0747265
4,10,-0.0784425
4,11,-0.0838427
4,12,-0.0893647
4,13,-0.094493
5,0,0.0122543
5,1,-0.00918229
5,2,-0.0211514
5,3,-0.0301821
5,4,-0.0331097
5,5,-0.0425669
5,6,-0.0437745
5,7,-0.0537872
5,8,-0.0668819
5,9,-0.0714004
5,10,-0.0838145
5,11,-0.0913453
5,12,-0.097791
5,13,-0.1029
6,0,0.0103058
6,1,-0.00787678
6,2,-0.0261436
6,3,-0.0207135
6,4,-0.037873
6,5,-0.0429256
6,6,-0.0515718
6,7,-0.0550682
6,8,-0.0747093
6,9,-0.0756656
6,10,-0.0869216
6,11,-0.0916299
6,12,-0.0997499
6,13,-0.102239
7,0,0.00460526
7,1,-0.0119823
7,2,-0.0263723
7,3,-0.0259438
7,4,-0.0411582
7,5,-0.0454857
7,6,-0.0549793
7,7,-0.0608235
7,8,-0.0632647
7,9,-0.0771628
7,10,-0.0846717
7,11,-0.0910418
7,12,-0.0967005
7,13,-0.100953
8,0,0.00127367
8,1,-0.0081028
8,2,-0.0227396
8,3,-0.0313187
8,4,-0.0410105
8,5,-0.0523737
8,6,-0.0445908
8,7,-0.0597834
8,8,-0.071253
8,9,-0.0885976
8,10,-0.0883574
8,11,-0.100028
8,12,-0.101775
8,13,-0.108704
9,0,-0.0117368
9,1,-0.0144314
9,2,-0.0170416
9,3,-0.0386674
9,4,-0.0371696
9,5,-0.0637789
9,6,-0.0498399
9,7,-0.0641506
9,8,-0.066138
9,9,-0.0965453
9,10,-0.100449
9,11,-0.101728
9,12,-0.111967
9,13,-0.105638
10,0,-0.00964584
10,1,-0.0246593
10,2,-0.0251028
10,3,-0.0476999
10,4,-0.0424569
10,5,-0.0536049
10,6,-0.0635082
10,7,-0.0733478
10,8,-0.0826573
10,9,-0.0867058
10,10,-0.109806
10,11,-0.10221
10,12,-0.109148
10,13,-0.115897
11,0,-0.0120128
11,1,-0.0221419
11,2,-0.0340192
11,3,-0.0415357
11,4,-0.0478762
11,5,-0.059379
11,6,-0.0741739
11,7,-0.0779842
11,8,-0.075596
11,9,-0.0829656
11,10,-0.0955224
11,11,-0.117165
11,12,-0.109654
11,13,-0.11016
12,0,0.005106
12,1,-0.000212764
12,2,-0.0211879
12,3,-0.0260806
12,4,-0.0540168
12,5,-0.0620578
12,6,-0.0619162
12,7,-0.0819017
12,8,-0.0851331
12,9,-0.0829656
12,10,-0.102942
12,11,-0.128946
12,12,-0.116173
12,13,-0.108871
13,0,-0.00911886
13,1,-0.0102951
13,2,-0.0209628
13,3,-0.0337591
13,4,-0.0535933
13,5,-0.0677371
13,6,-0.0726571
13,7,-0.0889456
13,8,-0.0851331
13,9,-0.0939438
13,10,-0.0940266
13,11,-0.103923
13,12,-0.135716
13,13,-0.123855
14,0,-0.00542851
14,1,-0.0158537
14,2,-0.0301989
14,3,-0.0326081
14,4,-0.0516907
14,5,-0.0692537
14,6,-0.0816034
14,7,-0.0886121
14,8,-0.100212
14,9,-0.0953128
14,10,-0.0941797
14,11,-0.103923
14,12,-0.122721
14,13,-0.131343
15,0,-0.0291053
15,1,-0.02443
15,2,-0.0356893
15,3,-0.0407385
15,4,-0.0681729
15,5,-0.0680403
15,6,-0.0733446
15,7,-0.0831519
15,8,-0.111738
15,9,-0.112058
15,10,-0.111949
15,11,-0.126304
15,12,-0.114688
15,13,-0.14691
16,0,0.00817474
16,1,0.100753
16,2,0.0927056
16,3,0.00296379
16,4,0.0788107
16,5,0.0688317
16,6,-0.0269414
16,7,0.0735578
16,8,0.0345534
16,9,-0.0269252
16,10,0.0146903
16,11,-0.00569209
16,12,-0.086766
16,13,-0.14691
17,0,-0.0503059
17,1,0.100753
17,2,-0.0501694
17,3,-0.0608038
17,4,-0.0568067
17,5,-0.061131
17,6,-0.079442
17,7,-0.0910294
17,8,-0.0822626
17,9,-0.107465
17,10,-0.129401
17,11,-0.117731
17,12,-0.104067
17,13,-0.133731
18,0,-0.0274857
18,1,0.0334469
18,2,-0.0501694
18,3,-0.0561475
18,4,-0.0572334
18,5,-0.0615497
18,6,-0.101893
18,7,-0.0943281
18,8,-0.0912079
18,9,-0.101084
18,10,-0.119074
18,11,-0.134123
18,12,0.0124368
18,13,-0.133731
19,0,-0.0658455
19,1,-0.0373274
19,2,-0.039176
19,3,-0.0652266
19,4,-0.0526932
19,5,-0.0595108
19,6,-0.0831845
19,7,-0.0909857
19,8,-0.104054
19,9,-0.123771
19,10,-0.113928
19,11,-0.14648
19,12,0.219839
19,13,0.219839
